City,State,Median Home Listing Price,30-year Fixed Mortgage Rate, Monthly Mortgage Payment ,Median Household Income,Hours per Month to Afford a Home,Number of Periods,Present Value,
Atlanta,Georgia,"3,29,900",3.54%," 1,191 ","47,527",52.3,360,"2,63,920",
Austin,Texas,"3,99,900",3.56%," 1,447 ","57,689",52.4,360,"3,19,920",
Nashville,Tennessee,"3,30,000",3.59%," 1,199 ","47,621",52.5,360,"2,64,000",
San Bernardino,California,"2,65,000",3.55%, 958 ,"37,047",54,360,"2,12,000",
Riverside,California,"4,09,900",3.55%," 1,482 ","57,196",54.1,360,"3,27,920",
Irving,Texas,"3,75,000",3.56%," 1,357 ","52,154",54.3,360,"3,00,000",
Washington,District of Columbia,"5,50,000",3.60%," 2,000 ","70,848",58.9,360,"4,40,000",
Jersey City,New Jersey,"4,70,000",3.55%," 1,699 ","59,537",59.6,360,"3,76,000",
Chula Vista,California,"5,15,000",3.55%," 1,862 ","65,185",59.6,360,"4,12,000",
Portland,Oregon,"4,39,900",3.59%," 1,598 ","55,003",60.6,360,"3,51,920",
New Orleans,Louisiana,"2,98,000",3.55%," 1,077 ","36,792",61.1,360,"2,38,400",
Scottsdale,Arizona,"5,95,000",3.60%," 2,164 ","73,288",61.6,360,"4,76,000",
Reno,Nevada,"3,94,000",3.60%," 1,433 ","47,012",63.6,360,"3,15,200",
Honolulu,Hawaii,"6,29,000",3.62%," 2,293 ","74,460",64.3,360,"5,03,200",
Denver,Colorado,"4,79,000",3.55%," 1,731 ","53,637",67.4,360,"3,83,200",
Fremont,California,"9,49,000",3.55%," 3,430 ","1,05,355",68,360,"7,59,200",
Dallas,Texas,"3,98,500",3.56%," 1,442 ","43,781",68.8,360,"3,18,800",
Anaheim,California,"5,79,445",3.57%," 2,100 ","60,752",72.1,360,"4,63,556",
Seattle,Washington,"6,79,000",3.58%," 2,464 ","70,594",72.8,360,"5,43,200",
Irvine,California,"8,97,304",3.55%," 3,244 ","92,278",73.4,360,"7,17,843",
San Jose,California,"8,25,000",3.55%," 2,982 ","84,647",73.5,360,"6,60,000",
Santa Ana,California,"5,09,990",3.55%," 1,843 ","52,253",73.6,360,"4,07,992",
San Diego,California,"6,75,000",3.55%," 2,440 ","66,116",77,360,"5,40,000",
Long Beach,California,"5,45,000",3.55%," 1,970 ","52,783",77.9,360,"4,36,000",
Oakland,California,"5,99,000",3.55%," 2,165 ","54,618",82.7,360,"4,79,200",
Boston,Massachusetts,"6,99,000",3.56%," 2,530 ","55,777",94.7,360,"5,59,200",
San Francisco,California,"11,50,000",3.55%," 4,157 ","81,294",106.7,360,"9,20,000",
Miami,Florida,"4,49,000",3.57%," 1,627 ","31,051",109.4,360,"3,59,200",
Los Angeles,California,"7,48,000",3.55%," 2,704 ","50,205",112.4,360,"5,98,400",
New York,New York,"7,98,000",3.60%," 2,902 ","53,373",113.5,360,"6,38,400",
